Number,City,Date,avg(°C),avg-high(°C),high(°C),high-date(yyyymmdd),avg-hPa,high-hPa,high-hPa-date(yyyymmdd),"sum of rain(00~24h, month)(mm)",One day high rain(mm),One day high rain-date(yyyymmdd)
159,Busan,14-Jan,5,9.7,15.5,20140131,3.8,12.4,20140125,9.6,7,20140108
159,Busan,14-Feb,5.8,9.9,17.5,20140227,6,15.5,20140201,44.1,22,20140226
159,Busan,14-Mar,9.8,14.5,21.6,20140318,7.8,16.6,20140326,136.7,30,20140313
159,Busan,14-Apr,14.6,19.3,23.9,20140416,9.8,17.8,20140429,147.8,77.5,20140428
159,Busan,14-May,18.7,23.2,27.7,20140515,14.8,24.4,20140526,145.9,89,20140512
159,Busan,14-Jun,21.4,24.9,29.9,20140628,20.3,26.9,20140630,44.5,22,20140612
159,Busan,14-Jul,24.8,28.1,32.9,20140731,26.5,34.8,20140725,169.3,40.5,20140703
159,Busan,14-Aug,24.2,27.1,32.2,20140801,25.8,32.1,20140801,642.2,129.5,20140818
159,Busan,14-Sep,22.7,26.5,30.6,20140905,20.6,30.4,20140903,128.7,61,20140903
159,Busan,14-Oct,17.9,22.1,25.7,20141002,13.9,23.7,20141020,162.5,39.5,20141020
159,Busan,14-Nov,12.7,17.4,21.6,20141106,9.2,19.9,20141101,40.5,26,20141124
159,Busan,14-Dec,3.5,8.2,15.2,20141210,4.1,12.9,20141201,21.3,11.5,20141216
159,Busan,15-Jan,4.7,9.4,13.9,20150126,4.9,14.6,20150106,50.7,26,20150106
159,Busan,15-Feb,5.4,10.2,15.4,20150222,5.1,14,20150222,30.5,13,20150221
159,Busan,15-Mar,9.5,14.3,20.9,20150321,6.6,17.2,20150331,76.5,45,20150318
159,Busan,15-Apr,13.9,17.8,23.9,20150427,10.9,20.1,20150403,268,87.5,20150419
159,Busan,15-May,18.8,22.9,30.2,20150526,14.4,22.1,20150530,183,68.5,20150511
159,Busan,15-Jun,21,24.7,28.1,20150604,19.9,28.4,20150626,69.2,22.5,20150630
159,Busan,15-Jul,23.9,27,31.9,20150731,24.6,33.2,20150729,176.7,39.5,20150723
159,Busan,15-Aug,26.1,29.3,33.5,20150810,26.5,34,20150808,132.5,76,20150821
159,Busan,15-Sep,22.1,25.9,28.8,20150903,19.5,28.6,20150902,172,64.5,20150917
159,Busan,15-Oct,18.1,22.9,26.5,20151020,13,29.3,20151001,62,57,20151001
159,Busan,15-Nov,13.6,17.5,23.6,20151105,11.7,21.7,20151108,124.1,55,20151107
159,Busan,15-Dec,7.9,12.4,17.3,20151208,6.7,16.2,20151202,51.5,32.5,20151210
159,Busan,16-Jan,3.1,7.6,16.6,20160103,4,10.6,20160103,59.5,24.3,20160128
159,Busan,16-Feb,5.5,10.4,15.8,20160213,4.7,17.7,20160213,63.7,32.7,20160212
159,Busan,16-Mar,9.9,14.4,19.6,20160330,7.8,17.6,20160306,133.5,38.7,20160318
159,Busan,16-Apr,15.1,19.2,24.2,20160426,11,19,20160417,198.5,47.4,20160407
159,Busan,16-May,19.3,23.7,30.5,20160531,14.1,23.1,20160515,108.8,40.7,20160503
159,Busan,16-Jun,21.9,25.3,28.7,20160620,21,28.6,20160619,115.2,53.7,20160624
159,Busan,16-Jul,25.3,28.5,32.7,20160730,27.1,34.4,20160729,188.8,63,20160704
159,Busan,16-Aug,27.7,31.8,37.3,20160814,26.8,36.3,20160812,141.5,57.6,20160828
159,Busan,16-Sep,22.9,26.3,29.7,20160927,22.2,30.2,20160928,407.9,119.4,20160917
159,Busan,16-Oct,18.7,22.3,28.3,20161003,16,29.3,20161003,182.4,95,20161005
159,Busan,16-Nov,11.8,16.4,20.8,20161118,9,18.9,20161114,56.6,29.1,20161118
159,Busan,16-Dec,7.3,12.1,17.6,20161222,5.9,18.2,20161222,103.8,39.6,20161222
159,Busan,17-Jan,4.1,9.1,15.1,20170102,4.1,10.6,20170129,12,5.9,20170129
159,Busan,17-Feb,5.5,10.8,17.7,20170217,4.3,13.2,20170217,33.8,23.2,20170222
159,Busan,17-Mar,9,13.9,18.1,20170330,6.1,10.6,20170320,35.7,13.2,20170301
159,Busan,17-Apr,15,19,23.2,20170430,10.8,19.6,20170417,105.1,37.7,20170417
159,Busan,17-May,19,23.7,28.2,20170525,13.7,21.6,20170505,39.2,20.6,20170509
159,Busan,17-Jun,21.3,25.2,30.4,20170615,17.8,27.4,20170630,49.8,21.1,20170629
159,Busan,17-Jul,26.1,29.2,32.7,20170722,27.5,32.8,20170721,172.1,122.6,20170704
159,Busan,17-Aug,27,30.5,36.2,20170806,26.2,35.4,20170823,82.5,28.3,20170814
159,Busan,17-Sep,22.6,26.5,29.7,20170909,18.8,30.2,20170911,335,264.1,20170911
159,Busan,17-Oct,18.1,22.3,28.7,20171010,14.4,25.3,20171002,138.3,104.6,20171002
159,Busan,17-Nov,11.2,16.3,23.6,20171108,7,17.4,20171108,0.3,0.3,20171117
159,Busan,17-Dec,3.6,8.6,14.5,20171203,3.4,12.4,20171224,10.6,10.4,20171224
159,Busan,18-Jan,1.9,6.5,14,20180115,3.5,12.1,20180116,40.9,27.6,20180116
159,Busan,18-Feb,3.9,8.9,14.7,20180227,3.8,12.7,20180228,52.5,52.3,20180228
159,Busan,18-Mar,10,14.5,22.3,20180329,7.8,16.6,20180315,206.1,62,20180315
159,Busan,18-Apr,14.5,18.7,24.3,20180427,10.4,17.9,20180422,156.4,60.4,20180424
159,Busan,18-May,17.8,21.5,26.6,20180526,14.9,24.4,20180517,155.8,42,20180506
159,Busan,18-Jun,21.5,25.2,31.3,20180624,19.1,28.4,20180626,276.7,131.1,20180628
159,Busan,18-Jul,26.7,30.2,35.4,20180729,26.9,36.3,20180727,122.1,90.9,20180703
159,Busan,18-Aug,27.9,31.3,36.4,20180805,27.9,35,20180815,169.7,58.1,20180827
159,Busan,18-Sep,21.9,25.3,30,20180904,20.1,30,20180903,308.4,82.8,20180901
159,Busan,18-Oct,16.4,21.1,25.6,20181007,11.8,27.1,20181006,123.7,67.4,20181006
159,Busan,18-Nov,12.4,17.5,22.5,20181104,8.4,21,20181108,107.3,101.2,20181108
159,Busan,18-Dec,5.7,10.1,18.8,20181203,5.2,19.6,20181203,59,27.9,20181204
159,Busan,19-Jan,4.5,9.6,13.7,20190130,3.4,8.9,20190112,12.7,11.3,20190131
159,Busan,19-Feb,6.6,11.3,16.5,20190228,5.1,15.6,20190203,51.5,28.8,20190219
159,Busan,19-Mar,10.5,15.1,21,20190321,7,17.8,20190321,75.4,33.7,20190320
159,Busan,19-Apr,13.4,17.3,23.4,20190417,9.3,20.5,20190424,85,25.3,20190429
159,Busan,19-May,19.3,23.6,30.1,20190525,12.9,22.1,20190527,76.1,37.1,20190518
159,Busan,19-Jun,21.1,24.7,29.7,20190605,18.4,28.4,20190627,324.3,112.5,20190626
159,Busan,19-Jul,24.3,27.1,30.9,20190731,25.7,35.4,20190730,358.9,172.2,20190720
159,Busan,19-Aug,27,30.1,35,20190813,27.7,34.8,20190801,156.3,72.5,20190806
159,Busan,19-Sep,23.1,26.6,30.5,20190909,23.1,33.6,20190911,279,81.6,20190922
159,Busan,19-Oct,18.6,22.8,28.8,20191003,14.6,28.6,20191002,139.9,94.8,20191002
159,Busan,19-Nov,13,17.9,24,20191101,9,21,20191118,13.8,6.8,20191118
159,Busan,19-Dec,7,11.7,16.6,20191217,5.4,14.1,20191217,50.3,33.3,20191201
159,Busan,20-Jan,6.4,10.9,17.7,20200107,5.7,19.4,20200107,127.7,73.3,20200127
159,Busan,20-Feb,7.1,11.8,18.1,20200214,6,16,20200212,94.9,49.8,20200225
159,Busan,20-Mar,10.4,15,18.2,20200319,7.4,18.4,20200327,58.8,24.6,20200326
159,Busan,20-Apr,12.6,17.5,24.4,20200429,7.6,16.4,20200430,83.5,33.2,20200419
159,Busan,20-May,17.9,21.8,26,20200527,14.7,22,20200516,96.2,50.8,20200509
159,Busan,20-Jun,22.4,26.6,30.7,20200628,19.7,27.7,20200625,321.1,99.2,20200629
159,Busan,20-Jul,22.1,24.8,30.6,20200731,23.2,31.5,20200730,796.8,208.7,20200710
159,Busan,20-Aug,27.2,30.4,33.2,20200820,29.5,35.9,20200825,399.2,163.1,20200808
159,Busan,20-Sep,21.9,25.6,30.6,20200901,19.6,31.5,20200902,230.5,113.6,20200907
159,Busan,20-Oct,17.3,22.2,25.9,20201003,11.5,21.8,20201003,26.4,15.8,20201022
159,Busan,20-Nov,12.4,17.2,23.3,20201118,8,22.4,20201119,36.3,31.8,20201119
159,Busan,20-Dec,4.3,9.3,15,20201228,3.8,8.7,20201229,10.2,6.6,20201229
159,Busan,21-Jan,3.3,7.9,15.7,20210115,4.5,13.2,20210122,25.8,17.4,20210126
159,Busan,21-Feb,7.2,11.9,19.3,20210221,5.8,14.7,20210214,49.5,22.9,20210201
159,Busan,21-Mar,11.4,15.9,21.6,20210330,8.6,16.8,20210328,127.5,37.8,20210301
159,Busan,21-Apr,14.7,19.7,26.5,20210422,9.4,18.5,20210404,107.1,39.5,20210403
159,Busan,21-May,17.7,21.5,26.5,20210523,13.7,24,20210516,139.2,45.1,20210516
159,Busan,21-Jun,21.9,25.4,30.9,20210621,19.7,26.6,20210613,232.3,82.6,20210611
159,Busan,21-Jul,26.3,29.5,32.4,20210720,27.2,33.6,20210731,399.9,137.5,20210707
159,Busan,21-Aug,26.2,29.4,35.6,20210806,27.7,35.2,20210801,481.2,146.2,20210825
159,Busan,21-Sep,22.9,26.4,28.8,20210912,21.8,30.6,20210907,164.7,50.1,20210917
159,Busan,21-Oct,18.7,23.3,28.4,20211010,15.3,27.2,20211010,18.2,8.5,20211016
159,Busan,21-Nov,12.5,17.4,22.3,20211101,8.2,19.4,20211108,57.9,28.9,20211130
159,Busan,21-Dec,6,10.8,17.8,20211210,5.1,12,20211206,4.5,4.4,20211216
159,Busan,22-Jan,4,9.2,13.2,20220122,3.5,8.9,20220123,0,0,20220124
159,Busan,22-Feb,3.6,8.8,15.2,20220228,3.6,9.3,20220214,0,0,20220219
159,Busan,22-Mar,10.5,14.8,20.1,20220312,8.5,17.2,20220326,127.4,80.3,20220326
159,Busan,22-Apr,14.9,19.1,23.6,20220425,10.8,21.2,20220426,130.6,101.8,20220426
159,Busan,22-May,19,23.4,27.4,20220531,13.2,21.7,20220512,5.4,3.3,20220502
159,Busan,22-Jun,21.7,24.9,28.6,20220622,22,31.5,20220630,152,49.8,20220605
159,Busan,22-Jul,26.2,29.7,32.9,20220729,28.3,35,20220707,145,63.1,20220718
159,Busan,22-Aug,26.4,29.7,33.1,20220805,28,35.2,20220806,176.7,52.6,20220816
159,Busan,22-Sep,22.9,26.9,31,20220918,21.3,32.8,20220905,162.4,69.2,20220906
159,Busan,22-Oct,17.6,22.7,30.8,20221001,13.3,28.3,20221003,9.7,4.7,20221004
159,Busan,22-Nov,14.4,19.8,24.2,20221112,9.8,22.4,20221113,61.3,24.8,20221113
159,Busan,22-Dec,3.3,8.1,16.4,20221209,3.5,9.3,20221221,21.4,19.4,20221221
159,Busan,23-Jan,3.8,8.9,17.2,20230112,4.5,18.1,20230113,79.2,77.1,20230113
159,Busan,23-Feb,6.8,11.8,15.7,20230207,5.6,12.4,20230218,30,16.8,20230210
159,Busan,23-Mar,12.3,17,23.6,20230331,9.1,17.9,20230323,76.2,56,20230323
159,Busan,23-Apr,14.6,19,25.1,20230420,11.3,20.5,20230429,101.6,44.8,20230405
159,Busan,23-May,17.9,21.6,25.3,20230527,14.8,23.7,20230528,290.7,98.9,20230506
